ubuntu@Ubuntu-noble-latest-amd64-base:~/critsend$ # 1. Tout ce qui touche au bootstrap depuis le dernier reload (13:07)
pm2 logs --nostream --lines 2000 | grep -E "PRESSURE_GUARD\]|LOCK_RECOVERY|leader_acquired" | tail -50

# 2. Toutes les erreurs récentes des deux process
pm2 logs --nostream --lines 500 --err | tail -80

# 3. Confirmer l'état actuel des ticks (toujours bootstrap=deferred ?)
pm2 logs --nostream --lines 100 | grep "PRESSURE_GUARD_WORKER\] tick" | tail -5
0|critsend | 2026-05-14 15:03:08 +02:00: 2026-05-14T13:03:08.838Z [WARN] Invalid tracking signature for unsubscribe: campaign=5570d62a-0b19-44f8-be64-f8a9e2a78e38, subscriber=cf1b8eac-9c0d-4879-9105-789923036e58, sig=142bc8db...
0|critsend | 2026-05-14 15:03:10 +02:00: 2026-05-14T13:03:10.354Z [WARN] Invalid tracking signature for unsubscribe: campaign=c211240b-2858-4478-8462-e27ddf2cbc40, subscriber=bae9943b-4c6d-4002-84c2-e08ea4ee8120, sig=a4fe0d96...
0|critsend | 2026-05-14 15:03:15 +02:00: 2026-05-14T13:03:15.210Z [WARN] Invalid tracking signature for unsubscribe: campaign=f9f0a86f-342c-4cf9-ba50-5802e0df5ed4, subscriber=cf1b8eac-9c0d-4879-9105-789923036e58, sig=7f8098e2...
0|critsend | 2026-05-14 15:03:28 +02:00: 2026-05-14T13:03:28.033Z [WARN] Invalid tracking signature for unsubscribe: campaign=f19f77d2-28e4-4faf-9635-63f0ed5d00eb, subscriber=12bbb11a-5e85-4240-8ae0-5472a2c6c99c, sig=f058fe17...
0|critsend | 2026-05-14 15:03:29 +02:00: 2026-05-14T13:03:29.660Z [WARN] Short unsubscribe token not found or invalid: zvA86IvB,
0|critsend | 2026-05-14 15:03:31 +02:00: 2026-05-14T13:03:31.121Z [WARN] Short unsubscribe token not found or invalid: 0ozA2R02,
0|critsend | 2026-05-14 15:03:37 +02:00: 2026-05-14T13:03:37.859Z [WARN] Short unsubscribe token not found or invalid: Z9ZvhmFX,
0|critsend | 2026-05-14 15:03:50 +02:00: 2026-05-14T13:03:50.089Z [WARN] [CAMPAIGN_GUARDIAN] Found 1 stuck campaign(s) in 'sending' with no active job — re-enqueuing
0|critsend | 2026-05-14 15:04:31 +02:00: 2026-05-14T13:04:31.716Z [WARN] Short unsubscribe token not found or invalid: oQpaBWN8,
0|critsend | 2026-05-14 15:04:39 +02:00: 2026-05-14T13:04:39.273Z [WARN] Invalid tracking signature for unsubscribe: campaign=000a78d7-7f20-4d48-b5d1-c446a9da38fd, subscriber=cf1b8eac-9c0d-4879-9105-789923036e58, sig=847b69cc...
0|critsend | 2026-05-14 15:05:44 +02:00: 2026-05-14T13:05:44.947Z [WARN] Invalid tracking signature for unsubscribe: campaign=3dd1eeaa-0e0c-404d-bbfe-4f5938f3bd2a, subscriber=ZGIwZTQ0Nj, sig=0832f5e7...
0|critsend | 2026-05-14 15:05:44 +02:00: 2026-05-14T13:05:44.948Z [WARN] Invalid tracking signature for click (lid): campaign=3dd1eeaa-0e0c-404d-bbfe-4f5938f3bd2a, subscriber=db0e4467-3fd3-43a6-a7f3-c08a57565cc0
0|critsend | 2026-05-14 15:05:44 +02:00: 2026-05-14T13:05:44.949Z [WARN] Invalid tracking signature for click (lid): campaign=3dd1eeaa-0e0c-404d-bbfe-4f5938f3bd2a, subscriber=db0e4467-3fd3-43a6-a7f3-c08a57565cc0
0|critsend | 2026-05-14 15:05:46 +02:00: 2026-05-14T13:05:46.721Z [WARN] Invalid tracking signature for click (lid): campaign=3dd1eeaa-0e0c-404d-bbfe-4f5938f3bd2a, subscriber=db0e4467-3fd3-43a6-a7f3-c08a57565cc0
0|critsend | 2026-05-14 15:06:50 +02:00: 2026-05-14T13:06:50.093Z [WARN] [CAMPAIGN_GUARDIAN] Found 1 stuck campaign(s) in 'sending' with no active job — re-enqueuing
0|critsend | 2026-05-14 15:07:49 +02:00: 2026-05-14T13:07:49.987Z [ERROR] [CONNECTION BUDGET] SPLIT-PROCESS OVER BUDGET! Combined web(30)+worker(18)+tracking(0)+import(0)+notify(2)=50 + headroom 2 = 52 exceeds Neon limit 50. [tracking=50, import=6 via pooler, excluded]
0|critsend | 2026-05-14 15:07:50 +02:00: 2026-05-14T13:07:50.452Z [WARN] [LOCK_RECOVERY] (web-boot) terminated 1 leaked PgBouncer backends holding bootstrap advisory locks (failures=1, by_objid={"900002":1}). This is the Task #152 self-heal at startup; rerun is idempotent.
0|critsend | 2026-05-14 15:07:51 +02:00: 2026-05-14T13:07:51.150Z [WARN] [BOOTSTRAP_LOCK] Index campaign_stats_campaign_subscriber_type_idx exists but is INVALID — will be dropped and rebuilt
0|critsend | 2026-05-14 15:08:00 +02:00: 2026-05-14T13:08:00.493Z [WARN] [TRACKING QUERIES] Token cache warming failed (non-fatal): canceling statement due to statement timeout
0|critsend | 2026-05-14 15:08:01 +02:00: 2026-05-14T13:08:01.180Z [WARN] [BOOTSTRAP_LOCK] Failed to check index existence for campaign_stats_campaign_subscriber_type_idx: canceling statement due to statement timeout
0|critsend | 2026-05-14 15:08:02 +02:00: 2026-05-14T13:08:02.608Z [ERROR] [TRACKING POOL] JS-level query timeout after 12000ms — connection destroyed. SQL: SELECT open_tag, click_tag, unsubscribe_tag
0|critsend | 2026-05-14 15:08:02 +02:00:          FROM campaigns WHERE id = $
0|critsend | 2026-05-14 15:08:02 +02:00: 2026-05-14T13:08:02.881Z [ERROR] [TRACKING POOL] JS-level query timeout after 12000ms — connection destroyed. SQL: SELECT open_tag, click_tag, unsubscribe_tag
0|critsend | 2026-05-14 15:08:02 +02:00:          FROM campaigns WHERE id = $
0|critsend | 2026-05-14 15:08:03 +02:00: 2026-05-14T13:08:03.101Z [ERROR] [TRACKING POOL] JS-level query timeout after 12000ms — connection destroyed. SQL: SELECT open_tag, click_tag, unsubscribe_tag
0|critsend | 2026-05-14 15:08:03 +02:00:          FROM campaigns WHERE id = $
0|critsend | 2026-05-14 15:08:04 +02:00: 2026-05-14T13:08:04.402Z [ERROR] [TRACKING POOL] JS-level query timeout after 12000ms — connection destroyed. SQL: SELECT open_tag, click_tag, unsubscribe_tag
0|critsend | 2026-05-14 15:08:04 +02:00:          FROM campaigns WHERE id = $
